popularity,original_title,cast,runtime,genres,release_date,release_year,budget_adj,revenue_adj,profit,leading_actor
32,Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,124,Action|Adventure|Science Fiction|Thriller,2015-06-09,2015,137999939,1392445892,1254445953,Chris Pratt
28,Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,120,Action|Adventure|Science Fiction|Thriller,2015-05-13,2015,137999939,348161292,210161353,Tom Hardy
13,Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,119,Adventure|Science Fiction|Thriller,2015-03-18,2015,101199955,271619025,170419070,Shailene Woodley
11,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,136,Action|Adventure|Science Fiction|Fantasy,2015-12-15,2015,183999919,1902723129,1718723210,Harrison Ford
9,Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,137,Action|Crime|Thriller,2015-04-01,2015,174799923,1385748801,1210948878,Vin Diesel
9,The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,156,Western|Drama|Adventure|Thriller,2015-12-25,2015,124199945,490314247,366114302,Leonardo DiCaprio
8,Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,125,Science Fiction|Action|Thriller|Adventure,2015-06-23,2015,142599937,405355075,262755138,Arnold Schwarzenegger
7,The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,141,Drama|Adventure|Science Fiction,2015-09-30,2015,99359956,547749654,448389698,Matt Damon
7,Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,91,Family|Animation|Adventure|Comedy,2015-06-17,2015,68079970,1064192016,996112046,Sandra Bullock
6,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,94,Comedy|Animation|Family,2015-06-09,2015,160999929,785411574,624411645,Amy Poehler
6,Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,148,Action|Adventure|Crime,2015-10-26,2015,225399900,810220283,584820383,Daniel Craig
6,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,124,Science Fiction|Fantasy|Action|Adventure,2015-02-04,2015,161919931,169268630,7348699,Mila Kunis
6,Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,108,Drama|Science Fiction,2015-01-21,2015,13799993,33919845,20119852,Domhnall Gleeson
5,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,105,Action|Comedy|Science Fiction,2015-07-16,2015,80959964,224146025,143186061,Adam Sandler
5,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,141,Action|Adventure|Science Fiction,2015-04-22,2015,257599886,1292632336,1035032450,Robert Downey Jr.
5,The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,167,Crime|Drama|Mystery|Western,2015-12-25,2015,40479982,143299244,102819262,Samuel L. Jackson
5,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,109,Crime|Action|Thriller,2015-01-01,2015,44159980,299709578,255549598,Liam Neeson
5,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,115,Science Fiction|Action|Adventure,2015-07-14,2015,119599947,477113780,357513833,Paul Rudd
5,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,112,Romance|Fantasy|Family|Drama,2015-03-12,2015,87399961,498963025,411563064,Lily James
5,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,136,War|Adventure|Science Fiction,2015-11-18,2015,147199935,598481289,451281354,Jennifer Lawrence
5,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,130,Action|Family|Science Fiction|Adventure|Mystery,2015-05-19,2015,174799923,192312729,17512806,Britt Robertson
5,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,123,Action|Drama,2015-06-15,2015,27599987,84373003,56773016,Jake Gyllenhaal
4,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,114,Action|Drama|Thriller,2015-05-27,2015,101199955,432851374,331651419,Dwayne Johnson
4,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,125,Drama|Romance,2015-02-11,2015,36799983,524079119,487279136,Dakota Johnson
4,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,130,Comedy|Drama,2015-12-11,2015,25759988,122678731,96918743,Christian Bale
4,Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,131,Action,2015-07-23,2015,137999939,627743451,489743512,Tom Cruise
4,Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,115,Comedy,2015-06-25,2015,62559972,198594430,136034458,Mark Wahlberg
4,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,130,Crime|Comedy|Action|Adventure,2015-01-24,2015,74519967,371497801,296977834,Taron Egerton
4,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,128,Drama|Thriller|History,2015-11-06,2015,18399991,81278719,62878728,Mark Ruffalo
